forecastdate,seat,voteshareDFcst,voteshareRFcst,candidateDFcst,candidateRFcst,marginFcst,voteshareDActl,voteshareRActl,candidateDActl,candidateRActl,marginActl,marginMiss,marginFcst22,marginAdj22
11/06/2018,AZ,49.86,48.18,Kyrsten Sinema,Martha McSally,1.68,49.96,47.61,KYRSTEN SINEMA,MARTHA MCSALLY,2.35,0.67,4.4,5.07
11/06/2018,CT,59.76,38.44,Christopher Murphy,Matthew Corey,21.32,56.8,39.35,CHRISTOPHER S MURPHY,MATTHEW COREY,17.45,-3.87,19.63,15.759999999999998
11/06/2018,DE,62.16,35.19,Thomas R. Carper,Rob Arlett,26.97,59.95,37.82,THOMAS R CARPER,ROBERT B ARLETT,22.13,-4.84,,
11/06/2018,FL,51.57,48.43,Bill Nelson,Rick Scott,3.14,49.93,50.05,BILL NELSON,RICK SCOTT,-0.12,-3.26,-7.57,-10.83
11/06/2018,HI,76.73,23.27,Mazie K. Hirono,Ron Curtis,53.46,71.15,28.85,MAZIE K. HIRONO,RON CURTIS,42.3,-11.16,36.74,25.580000000000002
11/06/2018,IN,50.59,46.9,Joe Donnelly,Mike Braun,3.69,44.84,50.73,JOE DONNELLY,MIKE BRAUN,-5.89,-9.58,-19.53,-29.11
11/06/2018,MA,61.71,35.58,Elizabeth Warren,Geoff Diehl,26.13,60.34,36.17,ELIZABETH A. WARREN,GEOFF DIEHL,24.17,-1.96,,
11/06/2018,MD,65.26,29.74,Benjamin L. Cardin,Tony Campbell,35.52,64.86,30.31,BEN CARDIN,TONY CAMPBELL,34.55,-0.97,31.69,30.720000000000002
11/06/2018,ME,7.19,36.44,Zak Ringelstein,Eric L. Brakey,-29.25,10.45,35.23,ZAK RINGELSTEIN,ERIC L. BRAKEY,-24.78,4.47,,
11/06/2018,MI,54.55,43.3,Debbie Stabenow,John James,11.25,52.26,45.76,DEBBIE STABENOW,JOHN JAMES,6.5,-4.75,,
11/06/2018,MN,59.35,37.86,Amy Klobuchar,Jim Newberger,21.49,60.31,36.21,AMY KLOBUCHAR,JIM NEWBERGER,24.1,2.61,,
11/06/2018,MN-Special,53.34,43.68,Tina Smith,Karin Housley,9.66,52.97,42.35,TINA SMITH,KARIN HOUSLEY,10.62,0.96,,
11/06/2018,MO,49.25,48.14,Claire McCaskill,Josh Hawley,1.11,45.57,51.38,CLAIRE MCCASKILL,JOSH HAWLEY,-5.81,-6.92,-16.76,-23.68
11/06/2018,MS,41.06,56.82,David Baria,Roger F. Wicker,-15.76,39.47,58.49,DAVID BARIA,ROGER F. WICKER,-19.02,-3.26,,
11/06/2018,MS-Special,41.46,32.04,Mike Espy,Cindy Hyde-Smith,9.42,46.37,53.63,MIKE ESPY,CINDY HYDE-SMITH,-7.26,-16.68,,
11/06/2018,MT,51.16,46.36,Jon Tester,Matt Rosendale,4.8,50.33,46.78,JON TESTER,MATT ROSENDALE,3.55,-1.25,,
11/06/2018,ND,47.68,52.32,Heidi Heitkamp,Kevin Cramer,-4.64,44.27,55.11,HEIDI HEITKAMP,KEVIN CRAMER,-10.84,-6.2,-44.95,-51.150000000000006
11/06/2018,NE,41.1,55.94,Jane Raybould,Deb Fischer,-14.84,38.62,57.69,JANE RAYBOULD,DEB FISCHER,-19.07,-4.23,,
11/06/2018,NJ,54.25,42.69,Robert Menendez,Bob Hugin,11.56,54.01,42.83,ROBERT MENENDEZ,BOB HUGIN,11.18,-0.38,,
11/06/2018,NM,51.8,33.62,Martin Heinrich,Mick Rich,18.18,54.09,30.53,MARTIN T HEINRICH,MICK RICH,23.56,5.38,,
11/06/2018,NV,49.3,48.24,Jacky Rosen,Dean Heller,1.06,50.41,45.38,JACKY ROSEN,DEAN HELLER,5.03,3.97,2.35,6.32
11/06/2018,NY,64.13,35.87,Kirsten E. Gillibrand,Chele Farley,28.26,62.02,28.58,KIRSTEN E. GILLIBRAND,CHELE CHIAVACCI FARLEY,33.44,5.18,24.56,29.74
11/06/2018,OH,55.76,44.24,Sherrod Brown,Jim Renacci,11.52,53.41,46.57,SHERROD BROWN,JIM RENACCI,6.84,-4.68,-4.19,-8.870000000000001
11/06/2018,PA,54.87,43.43,Robert P. Casey Jr.,Lou Barletta,11.44,55.61,42.74,ROBERT P CASEY JR,LOUIS J. BARLETTA,12.87,1.43,5.87,7.3
11/06/2018,RI,64.28,35.72,Sheldon Whitehouse,Bob Flanders,28.56,61.44,38.33,SHELDON WHITEHOUSE,"ROBERT G. FLANDERS, JR.",23.11,-5.45,,
11/06/2018,TN,45.76,51.13,Phil Bredesen,Marsha Blackburn,-5.37,43.92,54.71,PHIL BREDESEN,MARSHA BLACKBURN,-10.79,-5.42,,
